day index
166 165 41.0526315789474
167 166 18
168 167 8
169 168 43.9090909090909
170 169 50.625
171 170 56.7857142857143
172 171 55.5
173 172 50.8846153846154
174 173 21.6666666666667
175 174 Inf
176 175 42.8421052631579
177 176 60.125
178 177 49.0909090909091
179 178 63.037037037037
180 179 59.4642857142857
181 180 22.8
182 181 5.33333333333333
183 182 18.4166666666667
184 183 38.3809523809524
185 184 55.9
186 185 58.5
187 186 55.5333333333333
188 187 21
189 188 Inf
190 189 40
191 190 52.875
192 191 62.7
193 192 39.6
194 193 59.625
195 194 17.1111111111111
196 195 8
197 196 42.55
198 197 53.3333333333333
199 198 50.4782608695652
200 199 54.625
201 200 48.0689655172414
202 201 20.25
203 202 9.33333333333333
204 203 39.7894736842105
205 204 48.5925925925926
206 205 65
207 206 46.8461538461538
208 207 42.9473684210526
209 208 22.1666666666667
210 209 Inf
211 210 49.2307692307692
212 211 61.1111111111111
213 212 52.5
214 213 45.2222222222222
215 214 54.1935483870968
216 215 21.1111111111111
217 216 Inf
218 217 51.6666666666667
219 218 57.8461538461538
220 219 56.7916666666667
221 220 57.2
222 221 26.2857142857143
223 222 4.5
224 223 7.5
225 224 40.7
226 225 70.7142857142857
227 226 50.2857142857143
228 227 46.5833333333333
229 228 42.2857142857143
230 229 15.6
231 230 4
232 231 44.1818181818182
233 232 66.972972972973
234 233 54.1212121212121
235 234 59.7037037037037
236 235 37.2857142857143
237 236 20.8
238 237 4
239 238 39.375
240 239 52.92
241 240 57.3793103448276
242 241 55.5555555555556
243 242 35.625
244 243 28.8
245 244 NA
246 245 38.5
247 246 52.7692307692308
248 247 60.5625
249 248 88.6363636363636
250 249 48.3636363636364
251 250 17.6
252 251 6
253 252 69.0476190476191
254 253 86.5454545454545
255 254 58.3448275862069
256 255 55
257 256 43.2
258 257 19.125
259 258 4
260 259 28.2857142857143
261 260 59.0909090909091
262 261 59.6129032258064
263 262 50.3571428571429
264 263 37.0909090909091
265 264 23.3333333333333
266 265 2
267 266 31.3636363636364
268 267 56.8235294117647
269 268 61.2
270 269 60.5625
271 270 46.8
272 271 24.9333333333333
273 272 4
274 273 42.9
275 274 53.2258064516129
276 275 52.64
277 276 45.2631578947368
278 277 60.32
279 278 16
280 279 3
281 280 47.6428571428571
282 281 68.8333333333333
283 282 69.5588235294118
284 283 62.6086956521739
285 284 37.7777777777778
286 285 24
287 286 Inf
288 287 54.4666666666667
289 288 70.2857142857143
290 289 55.5555555555556
291 290 55.5333333333333
292 291 40
293 292 22.6666666666667
294 293 Inf
295 294 36
296 295 76.7
297 296 73.9393939393939
298 297 42.2857142857143
299 298 43.4347826086957
300 299 22
301 300 12
302 301 60
303 302 67.741935483871
304 303 47.8260869565217
305 304 51.4285714285714
306 305 78
307 306 30
308 307 5
309 308 43.4
310 309 74.1176470588235
311 310 48.75
312 311 60.3448275862069
313 312 58.5483870967742
314 313 31.7777777777778
315 314 Inf
316 315 46.8461538461538
317 316 59.8387096774194
318 317 57.3333333333333
319 318 66.3157894736842
320 319 28.875
321 320 Inf
322 321 Inf
323 322 49.6153846153846
324 323 74.5588235294118
325 324 58.3333333333333
326 325 53.6666666666667
327 326 48.3333333333333
328 327 19.2
329 328 Inf
330 329 55
331 330 65.8125
332 331 47.5
333 332 68.7142857142857
334 333 64.8148148148148
335 334 17.5
336 335 3
337 336 47.9615384615385
338 337 52.2222222222222
339 338 83.3333333333333
340 339 62.5789473684211
341 340 45.8333333333333
342 341 12.375
343 342 4
344 343 52.9565217391304
345 344 66.3428571428571
346 345 51.3076923076923
347 346 68.0322580645161
348 347 34.1333333333333
349 348 4
350 349 2
351 350 42.2222222222222
352 351 70.15
353 352 61.75
354 353 56.6666666666667
355 354 56.4
356 355 19.8333333333333
357 356 4
358 357 35.7647058823529
359 358 52.875
360 359 58.5454545454545
361 360 46.5
362 361 35.5454545454545
363 362 23.625
364 363 4
365 364 33.3333333333333
366 365 37.5652173913044
367 366 33.3333333333333
