day vn n p vp neg tot
285 284 0 19 21 0 18 34
286 285 0 11 13 1 10 20
287 286 0 0 2 0 0 1
288 287 1 36 19 0 30 43
289 288 0 40 33 0 35 60
290 289 0 29 29 0 27 50
291 290 2 31 24 0 30 49
292 291 0 19 21 0 17 34
293 292 0 15 8 0 12 17
294 293 0 0 1 0 0 1
295 294 0 23 18 0 20 30
296 295 1 37 45 0 30 59
297 296 0 39 40 0 33 61
298 297 0 15 29 1 14 37
299 298 0 26 21 0 23 37
300 299 0 10 12 0 9 18
301 300 0 5 6 0 5 10
302 301 2 32 26 2 28 48
303 302 2 32 34 0 31 60
304 303 0 24 25 1 23 44
305 304 0 29 28 1 28 48
306 305 0 38 41 0 32 64
307 306 0 9 13 1 6 18
308 307 1 3 0 0 3 3
309 308 0 30 17 1 25 35
310 309 1 38 35 1 34 63
311 310 1 24 25 0 24 45
312 311 1 33 29 0 29 50
313 312 0 32 29 0 31 55
314 313 0 21 10 0 18 26
315 314 0 0 5 0 0 4
316 315 1 27 18 0 26 42
317 316 1 33 30 0 31 53
318 317 0 31 25 0 24 43
319 318 1 40 33 0 38 60
320 319 0 20 13 0 16 22
321 320 0 0 2 0 0 2
322 321 0 0 3 0 0 3
323 322 0 29 24 0 26 43
324 323 2 36 40 0 34 65
325 324 1 33 31 0 33 55
326 325 0 22 40 0 21 49
327 326 0 28 17 0 21 35
328 327 0 11 6 0 10 16
329 328 0 0 2 0 0 1
330 329 1 23 37 0 20 44
331 330 2 36 35 0 32 54
332 331 0 18 35 0 16 40
333 332 0 36 46 1 35 65
334 333 2 32 29 0 27 50
335 334 0 9 8 0 8 14
336 335 0 2 0 0 2 2
337 336 0 28 23 0 26 43
338 337 1 28 26 1 27 47
339 338 0 49 32 0 45 75
340 339 0 40 29 0 38 58
341 340 0 24 28 0 24 44
342 341 0 8 6 0 8 11
343 342 0 1 1 0 1 2
344 343 0 28 22 0 23 42
345 344 0 42 23 0 35 54
346 345 0 28 27 0 26 46
347 346 0 36 37 0 31 57
348 347 0 15 22 0 15 32
349 348 0 3 1 0 3 3
350 349 0 1 2 0 1 1
351 350 0 19 24 0 18 38
352 351 0 45 36 0 40 61
353 352 0 37 34 0 32 52
354 353 2 31 31 1 30 50
355 354 0 29 29 1 25 47
356 355 1 5 15 0 6 17
357 356 0 1 1 0 1 2
358 357 0 18 18 0 17 32
359 358 0 26 30 0 24 47
360 359 0 27 32 1 22 46
361 360 0 30 16 0 28 42
362 361 1 21 15 0 22 34
363 362 1 7 16 0 8 21
364 363 0 1 2 0 1 2
365 364 2 17 12 0 15 25
366 365 1 22 18 0 23 36
367 366 1 8 17 0 6 20
